Country name,Number of deaths from wildfires
United States,15.5
Australia,4.1
Algeria,3.4615384615384617
China,2.6346153846153846
Indonesia,2.4538461538461536
Greece,2.180769230769231
Russia,2.0115384615384615
Portugal,1.65
South Africa,1.0538461538461539
Canada,0.9923076923076923
